"Time (ps)"	"Count rate (counts/s), channel 1"	"Count rate (counts/s), channel 2"	"Frequency (Hz), channel 1"	"Frequency (Hz), channel 2"
258360000000000	90950	83900	91060.600661562319	83934.770960915484
258380000000000	90950	84500	90964.051601991639	84537.580536025183
258400000000000	91150	84450	91022.112438378652	84347.025088294045
258420000000000	91100	84300	91218.89912802224	84434.041061907963
258440000000000	90800	84050	91004.548944308612	84220.503470132913
258460000000000	91050	83900	90837.029801644559	84037.058491583623
258480000000000	90750	84150	90960.784807160395	84166.290529035192
258500000000000	91050	84400	90969.728132567398	84212.650394685348
258520000000000	91000	84850	91006.78246477939	84528.671512982648
258540000000000	90900	84150	90938.355807912725	84417.057736883551
258560000000000	90900	85100	90756.537714784718	84519.048996895988
258580000000000	91200	84350	91070.440906109958	84853.012897228095
258600000000000	90950	84450	91004.874851272223	84297.333102075238
258620000000000	91150	84200	91105.575769041374	84442.510860214898
258640000000000	91050	84050	91082.308778744424	83794.581951106578
258660000000000	91100	84850	91157.281091062439	84552.945851801487
258680000000000	90900	85100	91017.235936413606	85161.807503047516
258700000000000	90950	84750	90961.23751190037	84837.319374609826
258720000000000	90750	84350	90765.573578862706	84532.812983021286
258740000000000	90900	84500	90898.158791066628	84446.541374227992
258760000000000	91150	84400	90955.674934014605	84551.742782108573
258780000000000	91000	84050	91088.215003925783	84375.540389655143
258800000000000	91050	84700	90946.039577402029	84259.03092741243
258820000000000	91000	84050	91134.530273340017	84294.628993982376
258840000000000	90850	84600	90825.572941162885	84268.491606189447
258860000000000	91350	84350	91078.012682833069	84575.416846777051
258880000000000	91100	84600	91274.816053351416	84419.462126384809
258900000000000	91100	84850	91121.464996269293	84564.511576550722
258920000000000	91050	84300	91049.591855788734	84617.138409580919
258940000000000	91100	84600	91043.269677367876	84522.605095098581
258960000000000	91200	84750	91255.7774125422	84779.406502754005
258980000000000	90750	84250	90949.302660627058	84602.653716573594
259000000000000	90950	84100	90734.645340722665	84064.158602287644
259020000000000	91050	84200	91116.587612726638	84050.278196527302
259040000000000	91100	84450	91081.386137968118	84517.761746093325
259060000000000	91000	84350	91078.490228734998	84346.628531733746
259080000000000	91100	84250	91052.92760447535	84094.916579891287
259100000000000	91150	84400	90945.81604449368	84360.743204418075
259120000000000	91100	84800	91193.65312423349	84657.79786012668
259140000000000	90900	84000	90992.016712743833	84266.824257695844
259160000000000	91050	85050	91022.956073211739	84662.320037753379
